specfile,restwave,zsys,col,sigcol,bval,sigbval,vel,sigvel,nflag,bflag,vflag,vlim1,vlim2,wobs1,wobs2,pix1,pix2,z_comp,trans,rely,comment ,QSO
J1555+3628_nbin3_norm.fits,1215.67,0.14157999999999998,12.981,0.0,8.95,0.0,-4.553999999999999,0.0,36,36,36,-40.0684,40.0684,1387.6254714092127,1387.9504292293866,8422,8433,0.14157,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.15136,12.982999999999999,0.3,6.9060000000000015,14.317,-0.218,5.952000000000001,37,37,37,-28.7671,28.7671,1180.8782668378387,1181.0751167072212,1516,1523,0.15136,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.15136,12.982999999999999,0.0,6.9060000000000015,0.0,-0.218,0.0,37,37,37,-28.7671,28.7671,1399.5585575185519,1399.7918609224484,8821,8829,0.15136,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.15484,13.047,0.17300000000000001,14.737,11.511,-5.751,7.022,38,38,38,-54.452,54.452,1184.3565568701504,1184.7291654781654,1633,1645,0.15482,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.15484,13.047,0.0,14.737,0.0,-5.751,0.0,38,38,38,-54.452,54.452,1403.6809727724874,1404.1225827001126,8959,8974,0.15482,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.15615,13.184000000000001,0.14800000000000002,24.146,12.956,-8.01,8.422,39,39,39,-60.6163,60.6163,1185.681880327374,1186.0966705126018,1677,1691,0.15612,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.15615,13.184000000000001,0.0,24.146,0.0,-8.01,0.0,39,39,39,-60.6163,60.6163,1405.251725523323,1405.743328400277,9012,9028,0.15612,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.15687,12.878,0.231,9.413,14.342,-10.779000000000002,7.267,40,40,40,-47.2602,47.2602,1186.4620150448336,1186.7854110144308,1703,1714,0.15682000000000001,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.15687,12.878,0.0,9.413,0.0,-10.779000000000002,0.0,40,40,40,-47.2602,47.2602,1406.1763290582505,1406.5596129321493,9043,9055,0.15682000000000001,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.16776,12.728,0.228,9.901,14.258,-8.411,7.505,41,41,41,-25.1712,25.1712,1419.5099446814834,1419.7140850585172,9435,9440,0.16773,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.17904,12.84,0.228,11.936,13.795,-6.403,8.079,42,42,42,-45.7191,45.7191,1433.1400240581927,1433.5108094920074,9806,9816,0.17902,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.18679,12.927999999999999,0.18100000000000002,14.134,11.302999999999999,-9.216000000000001,6.733,43,43,43,-43.6643,43.6643,1217.1662343033875,1217.465023953776,2730,2740,0.18675,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.18679,12.927999999999999,0.0,14.134,0.0,-9.216000000000001,0.0,43,43,43,-43.6643,43.6643,1442.5664922291821,1442.920613076218,10063,10072,0.18675,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.18756,13.216,0.09,19.97,6.869,-15.765999999999998,4.442,44,44,44,-47.7739,47.7739,1217.93821524308,1218.2651264011356,2756,2767,0.18749000000000002,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.18756,13.216,0.0,19.97,0.0,-15.765999999999998,0.0,44,44,44,-47.7739,47.7739,1443.4814320335029,1443.8688820540972,10088,10098,0.18749000000000002,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,972.5367,0.18898,16.015,0.25,47.832,3.2110000000000003,6.867000000000001,1.521,50,50,50,-155.3422,155.3422,1155.8224877201221,1156.83035824206,678,712,0.18900999999999998,H I,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.18898,16.015,0.0,47.832,0.0,6.867000000000001,0.0,50,50,50,-155.3422,155.3422,1219.0314102426742,1220.0943985793374,2793,2828,0.18900999999999998,H I,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.18898,16.015,0.0,47.832,0.0,6.867000000000001,0.0,50,50,50,-155.3422,155.3422,1444.7770697462838,1446.0369069919159,10123,10157,0.18900999999999998,H I,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.19109,12.787,0.205,16.852999999999998,14.919,-3.458,8.797,59,59,59,-56.5068,56.5068,1447.7437900942978,1448.2020646087021,10204,10216,0.19108,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,972.5367,0.19425,13.908,0.09,20.514,3.759,3.429,2.57,60,60,60,-66.8834,66.8834,1161.2389013248408,1161.672845270961,859,874,0.19427,H I,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.19425,13.908,0.0,20.514,0.0,3.429,0.0,60,60,60,-66.8834,66.8834,1224.7440334051132,1225.2017086158185,2984,2999,0.19427,H I,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.19425,13.908,0.0,20.514,0.0,3.429,0.0,60,60,60,-66.8834,66.8834,1451.5475818789864,1452.0900114212134,10307,10322,0.19427,H I,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,972.5367,0.19519,14.957,0.205,30.248,2.983,-8.133,2.131,61,61,61,-81.9862,81.9862,1162.1049379444948,1162.6368698611648,888,906,0.19516,H I,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.19519,14.957,0.0,30.248,0.0,-8.133,0.0,61,61,61,-81.9862,81.9862,1225.6574313126598,1226.2184532008998,3015,3033,0.19516,H I,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.19519,14.957,0.0,30.248,0.0,-8.133,0.0,61,61,61,-81.9862,81.9862,1452.6301268743734,1453.2950412916266,10337,10355,0.19516,H I,a,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1025.7222,0.20281,13.015999999999998,0.203,26.695,20.282,-0.469,12.907,62,62,62,-60.1026,60.1026,1233.5432100830612,1233.9544850798304,3278,3292,0.20281,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,1215.67,0.20281,13.015999999999998,0.0,26.695,0.0,-0.469,0.0,62,62,62,-60.1026,60.1026,1461.9762292379705,1462.4636659682294,10592,10605,0.20281,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,949.743,0.20554,13.949000000000002,0.048,39.089,4.864,-14.761,3.583,63,63,63,-115.58200000000001,115.58200000000001,1144.5872591870873,1145.3195871192731,302,326,0.20548000000000002,H I,b,-- ,J1555+3628
J1555+3628_nbin3_norm.fits,972.5367,0.20554,13.949000000000002,0.0,39.089,0.0,-14.761,0.0,63,63,63,-115.58200000000001,115.58200000000001,1172.0571943271545,1172.8070980279294,1221,1246,0.20548000000000002,H I,b,-- ,J1555+3628
